title	datasetIdentifier	disease	authors	created	modified	curated	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
New Jersey Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/34/diags/us_diags_34.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/34/	null	SPEW.US format	New Jersey	1592	US-NJ	null	null
New Mexico Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/35/diags/us_diags_35.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/35/	null	SPEW.US format	New Mexico	1622	US-NM	null	null
New York Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/36/diags/us_diags_36.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/36/	null	SPEW.US format	New York	1623	US-NY	null	null
North Carolina Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/37/diags/us_diags_37.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/37/	null	SPEW.US format	North Carolina	1631	US-NC	null	null
North Dakota Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/38/diags/us_diags_38.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/38/	null	SPEW.US format	North Dakota	1593	US-ND	null	null
Ohio Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/39/diags/us_diags_39.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/39/	null	SPEW.US format	Ohio	1594	US-OH	null	null
Oklahoma Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/40/diags/us_diags_40.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/40/	null	SPEW.US format	Oklahoma	1595	US-OK	null	null
Oregon Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/41/diags/us_diags_41.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/41/	null	SPEW.US format	Oregon	1624	US-OR	null	null
Pennsylvania Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/42/diags/us_diags_42.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/42/	null	SPEW.US format	Pennsylvania	1213	US-PA	null	null
Rhode Island Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/44/diags/us_diags_44.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/44/	null	SPEW.US format	Rhode Island	1625	US-RI	null	null
South Carolina Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/45/diags/us_diags_45.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/45/	null	SPEW.US format	South Carolina	1597	US-SC	null	null
South Dakota Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/46/diags/us_diags_46.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/46/	null	SPEW.US format	South Dakota	1598	US-SD	null	null
Tennessee Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/47/diags/us_diags_47.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/47/	null	SPEW.US format	Tennessee	1606	US-TN	null	null
Texas Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/48/diags/us_diags_48.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/48/	null	SPEW.US format	Texas	1626	US-TX	null	null
Utah Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/49/diags/us_diags_49.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/49/	null	SPEW.US format	Utah	1599	US-UT	null	null
Vermont Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/50/diags/us_diags_50.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/50/	null	SPEW.US format	Vermont	1600	US-VT	null	null
Virginia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/51/diags/us_diags_51.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/51/	null	SPEW.US format	Virginia	1610	US-VA	null	null
Washington Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/53/diags/us_diags_53.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/53/	null	SPEW.US format	Washington	1627	US-WA	null	null
West Virginia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/54/diags/us_diags_54.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/54/	null	SPEW.US format	West Virginia	1601	US-WV	null	null
Wisconsin Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/55/diags/us_diags_55.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/55/	null	SPEW.US format	Wisconsin	1628	US-WI	null	null
Wyoming Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/56/diags/us_diags_56.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/56/	null	SPEW.US format	Wyoming	1602	US-WY	null	null
Argentina Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/south_america/arg/diags/ipums_diags_arg.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/south_america/arg/	null	SPEW.IPUMS format	Argentina	4977	AR	null	ARG
Armenia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/western_asia/arm/diags/ipums_diags_arm.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/western_asia/arm/	null	SPEW.IPUMS format	Armenia	4985	AM	null	ARM
Austria Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/western_europe/aut/diags/ipums_diags_aut.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/europe/western_europe/aut/	null	SPEW.IPUMS format	Austria	4964	AT	null	AUT
Burkina Faso Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/western_africa/bfa/diags/ipums_diags_bfa.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/africa/western_africa/bfa/	null	SPEW.IPUMS format	Burkina Faso	5050	BF	null	BFA
Bangladesh Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/southern_asia/bgd/diags/ipums_diags_bgd.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/asia/southern_asia/bgd/	null	SPEW.IPUMS format	Bangladesh	5039	BD	null	BGD
