title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus	population_required	iri
Brazil Synthetic Ecosystem	Brazil synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574036	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000059	https://zenodo.org/record/574036/files/bra.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Brazil	5000	BR	76	BRA	FALSE	TRUE	humans in region of Brazil	http://www.pitt.edu/obc/IDE_0000000049
Burkina Faso Synthetic Ecosystem	Burkina Faso synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574032	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000055	https://zenodo.org/record/574032/files/bfa.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Burkina Faso	5050	BF	854	BFA	FALSE	TRUE	humans in region of Burkina Faso	http://www.pitt.edu/obc/IDE_0000000953
California Synthetic Ecosystem	"California synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573982	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000005	https://zenodo.org/record/573982/files/06.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	California	1613	US-CA	null	null	FALSE	TRUE	humans in region of California	http://www.pitt.edu/obc/IDE_0000000127
Cambodia Synthetic Ecosystem	Cambodia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574065	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000088	https://zenodo.org/record/574065/files/khm.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Cambodia	5140	KH	116	KHM	FALSE	TRUE	humans in region of Cambodia	http://www.pitt.edu/obc/IDE_0000000922
Cameroon Synthetic Ecosystem	Cameroon synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574041	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000064	https://zenodo.org/record/574041/files/cmr.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Cameroon	4990	CM	120	CMR	FALSE	TRUE	humans in region of Cameroon	http://www.pitt.edu/obc/IDE_0000000909
Canada Synthetic Ecosystem	"Canada synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: Public Use Microdata Files (PUMFS), National Household Survey, 2011."	https://doi.org/10.5281/zenodo.574037	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000060	https://zenodo.org/record/574037/files/can.tar.gz	null	SPEW.CANADA format; SPEW.CANADA format	null	Canada	5091	CA	124	CAN	FALSE	TRUE	humans in region of Canada	http://www.pitt.edu/obc/IDE_0000000356
Chile Synthetic Ecosystem	Chile synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574039	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000062	https://zenodo.org/record/574039/files/chl.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Chile	4956	CL	152	CHL	FALSE	TRUE	humans in region of Chile	http://www.pitt.edu/obc/IDE_0000000872
China Synthetic Ecosystem	China synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574040	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000063	https://zenodo.org/record/574040/files/chn.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	China	5043	CN	156	CHN	FALSE	TRUE	humans in region of China	http://www.pitt.edu/obc/IDE_0000000915
Colombia Synthetic Ecosystem	Colombia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574042	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000065	https://zenodo.org/record/574042/files/col.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Colombia	5076	CO	170	COL	FALSE	TRUE	humans in region of Colombia	http://www.pitt.edu/obc/IDE_0000000135
Colorado Synthetic Ecosystem	"Colorado synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573983	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000006	https://zenodo.org/record/573983/files/08.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Colorado	1578	US-CO	null	null	FALSE	TRUE	humans in region of Colorado	http://www.pitt.edu/obc/IDE_0000001131
Connecticut Synthetic Ecosystem	"Connecticut synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573984	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000007	https://zenodo.org/record/573984/files/09.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Connecticut	1579	US-CT	null	null	FALSE	TRUE	humans in region of Connecticut	http://www.pitt.edu/obc/IDE_0000001121
Costa Rica Synthetic Ecosystem	Costa Rica synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574043	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000066	https://zenodo.org/record/574043/files/cri.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Costa Rica	5032	CR	188	CRI	FALSE	TRUE	humans in region of Costa Rica	http://www.pitt.edu/obc/IDE_0000000959
Cuba Synthetic Ecosystem	Cuba synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574044	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000067	https://zenodo.org/record/574044/files/cub.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Cuba	5183	CU	192	CUB	FALSE	TRUE	humans in region of Cuba	http://www.pitt.edu/obc/IDE_0000000974
Delaware Synthetic Ecosystem	"Delaware synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573985	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000008	https://zenodo.org/record/573985/files/10.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Delaware	1614	US-DE	null	null	FALSE	TRUE	humans in region of Delaware	http://www.pitt.edu/obc/IDE_0000001104
District of Columbia Synthetic Ecosystem	"District of Columbia synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573986	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000009	https://zenodo.org/record/573986/files/11.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	District of Columbia	1580	US-DC	null	null	FALSE	TRUE	humans in region of District of Columbia	http://www.pitt.edu/obc/IDE_0000001128
Dominican Republic Synthetic Ecosystem	Dominican Republic synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574046	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000069	https://zenodo.org/record/574046/files/dom.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Dominican Republic	5120	DO	214	DOM	FALSE	TRUE	humans in region of Dominican Republic	http://www.pitt.edu/obc/IDE_0000000886
Ecuador Synthetic Ecosystem	Ecuador synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574047	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000070	https://zenodo.org/record/574047/files/ecu.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Ecuador	5088	EC	218	ECU	FALSE	TRUE	humans in region of Ecuador	http://www.pitt.edu/obc/IDE_0000000902
Egypt Synthetic Ecosystem	Egypt synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574048	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000071	https://zenodo.org/record/574048/files/egy.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Egypt	4992	EG	818	EGY	FALSE	TRUE	humans in region of Egypt	http://www.pitt.edu/obc/IDE_0000000954
El Salvador Synthetic Ecosystem	El Salvador synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574087	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000110	https://zenodo.org/record/574087/files/slv.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	El Salvador	5165	SV	222	SLV	FALSE	TRUE	humans in region of El Salvador	http://www.pitt.edu/obc/IDE_0000000837
Ethiopia Synthetic Ecosystem	Ethiopia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574050	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000073	https://zenodo.org/record/574050/files/eth.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Ethiopia	5179	ET	231	ETH	FALSE	TRUE	humans in region of Ethiopia	http://www.pitt.edu/obc/IDE_0000000916
Fiji Synthetic Ecosystem	Fiji synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574051	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000074	https://zenodo.org/record/574051/files/fji.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Fiji	5168	FJ	242	FJI	FALSE	TRUE	humans in region of Fiji	http://www.pitt.edu/obc/IDE_0000000822
Florida Synthetic Ecosystem	"Florida synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573987	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000010	https://zenodo.org/record/573987/files/12.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Florida	1608	US-FL	null	null	FALSE	TRUE	humans in region of Florida	http://www.pitt.edu/obc/IDE_0000000117
France Synthetic Ecosystem	France synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574052	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000075	https://zenodo.org/record/574052/files/fra.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	France	4998	FR	250	FRA	FALSE	TRUE	humans in region of France	http://www.pitt.edu/obc/IDE_0000000904
Georgia Synthetic Ecosystem	"Georgia synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573988	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000011	https://zenodo.org/record/573988/files/13.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Georgia	1581	US-GA	null	null	FALSE	TRUE	humans in region of Georgia	http://www.pitt.edu/obc/IDE_0000001120
Germany Synthetic Ecosystem	Germany synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574045	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000068	https://zenodo.org/record/574045/files/deu.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Germany	5029	DE	276	DEU	FALSE	TRUE	humans in region of Germany	http://www.pitt.edu/obc/IDE_0000000877
Ghana Synthetic Ecosystem	Ghana synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574053	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000076	https://zenodo.org/record/574053/files/gha.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Ghana	5092	GH	288	GHA	FALSE	TRUE	humans in region of Ghana	http://www.pitt.edu/obc/IDE_0000000972
Greece Synthetic Ecosystem	Greece synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574054	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000077	https://zenodo.org/record/574054/files/grc.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Greece	5090	GR	300	GRC	FALSE	TRUE	humans in region of Greece	http://www.pitt.edu/obc/IDE_0000000862
Haiti Synthetic Ecosystem	Haiti synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574055	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000078	https://zenodo.org/record/574055/files/hti.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Haiti	4989	HT	332	HTI	FALSE	TRUE	humans in region of Haiti	http://www.pitt.edu/obc/IDE_0000000906
Hawaii Synthetic Ecosystem	"Hawaii synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573989	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000012	https://zenodo.org/record/573989/files/15.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Hawaii	1615	US-HI	null	null	FALSE	TRUE	humans in region of Hawaii	http://www.pitt.edu/obc/IDE_0000001113
Hungary Synthetic Ecosystem	Hungary synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574056	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000079	https://zenodo.org/record/574056/files/hun.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Hungary	5082	HU	348	HUN	FALSE	TRUE	humans in region of Hungary	http://www.pitt.edu/obc/IDE_0000000842
Idaho Synthetic Ecosystem	"Idaho synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573990	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000013	https://zenodo.org/record/573990/files/16.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Idaho	1582	US-ID	null	null	FALSE	TRUE	humans in region of Idaho	http://www.pitt.edu/obc/IDE_0000001110
Illinois Synthetic Ecosystem	"Illinois synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573991	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000014	https://zenodo.org/record/573991/files/17.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Illinois	1583	US-IL	null	null	FALSE	TRUE	humans in region of Illinois	http://www.pitt.edu/obc/IDE_0000001118
India Synthetic Ecosystem	India synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574058	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000081	https://zenodo.org/record/574058/files/ind.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	India	5180	IN	356	IND	FALSE	TRUE	humans in region of India	http://www.pitt.edu/obc/IDE_0000000827
Indiana Synthetic Ecosystem	"Indiana synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573992	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000015	https://zenodo.org/record/573992/files/18.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Indiana	1616	US-IN	null	null	FALSE	TRUE	humans in region of Indiana	http://www.pitt.edu/obc/IDE_0000001123
Indonesia Synthetic Ecosystem	Indonesia synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574057	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000080	https://zenodo.org/record/574057/files/idn.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Indonesia	4973	ID	360	IDN	FALSE	TRUE	humans in region of Indonesia	http://www.pitt.edu/obc/IDE_0000000937
Iowa Synthetic Ecosystem	"Iowa synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573993	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000016	https://zenodo.org/record/573993/files/19.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Iowa	1584	US-IA	null	null	FALSE	TRUE	humans in region of Iowa	http://www.pitt.edu/obc/IDE_0000001096
Iraq Synthetic Ecosystem	Iraq synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574059	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000082	https://zenodo.org/record/574059/files/irq.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Iraq	4994	IQ	368	IRQ	FALSE	TRUE	humans in region of Iraq	http://www.pitt.edu/obc/IDE_0000000910
Israel Synthetic Ecosystem	Israel synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574060	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000083	https://zenodo.org/record/574060/files/isr.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Israel	5188	IL	376	ISR	FALSE	TRUE	humans in region of Israel	http://www.pitt.edu/obc/IDE_0000000935
Italy Synthetic Ecosystem	Italy synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574061	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000084	https://zenodo.org/record/574061/files/ita.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Italy	5195	IT	380	ITA	FALSE	TRUE	humans in region of Italy	http://www.pitt.edu/obc/IDE_0000000826
Jamaica Synthetic Ecosystem	Jamaica synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574062	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000085	https://zenodo.org/record/574062/files/jam.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Jamaica	4999	JM	388	JAM	FALSE	TRUE	humans in region of Jamaica	http://www.pitt.edu/obc/IDE_0000000951
Jordan Synthetic Ecosystem	Jordan synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574063	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000086	https://zenodo.org/record/574063/files/jor.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Jordan	4993	JO	400	JOR	FALSE	TRUE	humans in region of Jordan	http://www.pitt.edu/obc/IDE_0000000934
Kansas Synthetic Ecosystem	"Kansas synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573994	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000017	https://zenodo.org/record/573994/files/20.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Kansas	1585	US-KS	null	null	FALSE	TRUE	humans in region of Kansas	http://www.pitt.edu/obc/IDE_0000001095
Kentucky Synthetic Ecosystem	"Kentucky synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.573995	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000018	https://zenodo.org/record/573995/files/21.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Kentucky	1617	US-KY	null	null	FALSE	TRUE	humans in region of Kentucky	http://www.pitt.edu/obc/IDE_0000001093
Kenya Synthetic Ecosystem	Kenya synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574064	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000087	https://zenodo.org/record/574064/files/ken.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Kenya	5190	KE	404	KEN	FALSE	TRUE	humans in region of Kenya	http://www.pitt.edu/obc/IDE_0000000895
