title	datasetIdentifier	disease	authors	created	modified	curated	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Maine Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000020	https://zenodo.org/api/files/9b46a9f0-2f3c-4caa-b37d-29ed0b7afc4a/23.tar.gz	null	SPEW.US format	Maine	1618	US-ME	null	null
Maryland Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000021	https://zenodo.org/api/files/6b944569-17be-44e8-81a5-c7f2a1949f36/24.tar.gz	null	SPEW.US format	Maryland	1587	US-MD	null	null
Massachusetts Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000022	https://zenodo.org/api/files/892714e0-f53c-468e-b07a-67d595fc1abc/25.tar.gz	null	SPEW.US format	Massachusetts	1609	US-MA	null	null
Michigan Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000023	https://zenodo.org/api/files/be0641be-5ee6-4797-886d-85e0dc40c3cd/26.tar.gz	null	SPEW.US format	Michigan	1619	US-MI	null	null
Minnesota Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000024	https://zenodo.org/api/files/61a66dca-3ccd-4c5b-96c9-a8e7b85c8b3f/27.tar.gz	null	SPEW.US format	Minnesota	1588	US-MN	null	null
Mississippi Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000025	https://zenodo.org/api/files/33f2f65d-3275-4f1a-8727-522cc33c9d5b/28.tar.gz	null	SPEW.US format	Mississippi	1620	US-MS	null	null
Missouri Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000026	https://zenodo.org/api/files/9b51598f-a39d-4287-9f0b-e3ebbb9571f2/29.tar.gz	null	SPEW.US format	Missouri	1589	US-MO	null	null
Montana Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000027	https://zenodo.org/api/files/564011d4-17c0-4246-8e02-e68911f73987/30.tar.gz	null	SPEW.US format	Montana	1590	US-MT	null	null
Nebraska Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000028	https://zenodo.org/api/files/a6f49713-e058-456f-9e48-b52691a5656c/31.tar.gz	null	SPEW.US format	Nebraska	1621	US-NE	null	null
Nevada Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000029	https://zenodo.org/api/files/b667f464-b959-4312-94e5-0f53799c0d6c/32.tar.gz	null	SPEW.US format	Nevada	1591	US-NV	null	null
New Hampshire Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000030	https://zenodo.org/api/files/8d1d79f9-e959-4436-a8eb-ade7f03b2c78/33.tar.gz	null	SPEW.US format	New Hampshire	1605	US-NH	null	null
New Jersey Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000031	https://zenodo.org/api/files/3a2d0c10-f8d2-446e-ba67-25eb3bea27e1/34.tar.gz	null	SPEW.US format	New Jersey	1592	US-NJ	null	null
New Mexico Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000032	https://zenodo.org/api/files/5867c242-c007-4be7-84ad-2950aae0d652/35.tar.gz	null	SPEW.US format	New Mexico	1622	US-NM	null	null
New York Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000033	https://zenodo.org/api/files/0e51ef14-4015-47fa-9f0a-ffe389df7ba6/36.tar.gz	null	SPEW.US format	New York	1623	US-NY	null	null
North Carolina Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000034	https://zenodo.org/api/files/8a3da3bd-35bc-42db-9098-c0fa1b2dffbe/37.tar.gz	null	SPEW.US format	North Carolina	1631	US-NC	null	null
North Dakota Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000035	https://zenodo.org/api/files/80dffe56-c7a2-4b8a-8caa-7ef723660aac/38.tar.gz	null	SPEW.US format	North Dakota	1593	US-ND	null	null
Ohio Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000036	https://zenodo.org/api/files/45103c12-f901-4872-9af7-5965d8f99f74/39.tar.gz	null	SPEW.US format	Ohio	1594	US-OH	null	null
Oklahoma Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000037	https://zenodo.org/api/files/5cc6d78c-7d08-4a89-b2d8-abce65c2b1fb/40.tar.gz	null	SPEW.US format	Oklahoma	1595	US-OK	null	null
Oregon Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000038	https://zenodo.org/api/files/e63330e5-d91c-4c67-b42e-6d67368f626a/41.tar.gz	null	SPEW.US format	Oregon	1624	US-OR	null	null
Pennsylvania Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000039	https://zenodo.org/api/files/ae1e560d-7124-4a5a-8baf-6a63325d8c98/42.tar.gz	null	SPEW.US format	Pennsylvania	1213	US-PA	null	null
