title	datasetIdentifier	disease	authors	created	modified	curated	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Jamaica Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000085	https://zenodo.org/api/files/e706755f-e734-45eb-b4de-7924633350e0/jam.tar.gz	null	SPEW.IPUMS format	Jamaica	4999	JM	null	JAM
Jordan Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000086	https://zenodo.org/api/files/3bf473ee-5cb6-454d-894b-871055c0e936/jor.tar.gz	null	SPEW.IPUMS format	Jordan	4993	JO	null	JOR
Kenya Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000087	https://zenodo.org/api/files/acd25780-2e26-4606-b18e-7fc053d0f163/ken.tar.gz	null	SPEW.IPUMS format	Kenya	5190	KE	null	KEN
Cambodia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000088	https://zenodo.org/api/files/9fae5478-aeec-41bd-a9cf-62e19092184a/khm.tar.gz	null	SPEW.IPUMS format	Cambodia	5140	KH	null	KHM
Liberia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000089	https://zenodo.org/api/files/f7c3d604-1605-4c99-a5fc-97a0e54d5ae2/lbr.tar.gz	null	SPEW.IPUMS format	Liberia	1130	LR	null	LBR
Morocco Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000090	https://zenodo.org/api/files/041b4eec-0b41-48ba-8b94-11607dd5cc77/mar.tar.gz	null	SPEW.IPUMS format	Morocco	5049	MA	null	MAR
Mexico Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000091	https://zenodo.org/api/files/6dcd2a57-09e3-46f7-a780-e5f3f608c1cc/mex.tar.gz	null	SPEW.IPUMS format	Mexico	5178	MX	null	MEX
Mali Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000092	https://zenodo.org/api/files/800aa74f-17ea-47bd-803e-b0cd34e24c97/mli.tar.gz	null	SPEW.IPUMS format	Mali	30	ML	null	MLI
Mongolia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000093	https://zenodo.org/api/files/6a9170c9-dfbf-4637-8586-de999ab0274e/mng.tar.gz	null	SPEW.IPUMS format	Mongolia	5020	MN	null	MNG
Mozambique Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000094	https://zenodo.org/api/files/1092115a-b13c-4870-b108-9eff7ec3e8db/moz.tar.gz	null	SPEW.IPUMS format	Mozambique	4953	MZ	null	MOZ
Malawi Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000095	https://zenodo.org/api/files/dd867945-9b44-48b9-8cb3-f4982170d279/mwi.tar.gz	null	SPEW.IPUMS format	Malawi	5139	MW	null	MWI
Malaysia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000096	https://zenodo.org/api/files/81869be1-41f6-44e9-bde4-49f8e35ecf8c/mys.tar.gz	null	SPEW.IPUMS format	Malaysia	4967	MY	null	MYS
Nigeria Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000097	https://zenodo.org/api/files/697fce6e-ea3e-4445-8460-9b4f73b895eb/nga.tar.gz	null	SPEW.IPUMS format	Nigeria	318	NG	null	NGA
Nicaragua Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000098	https://zenodo.org/api/files/ede227ef-f6b9-4192-9fa6-c7adac4bd6c4/nic.tar.gz	null	SPEW.IPUMS format	Nicaragua	5070	NI	null	NIC
Netherlands Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000099	https://zenodo.org/api/files/7fc15705-f870-4cf0-8781-37f0589108ab/nld.tar.gz	null	SPEW.IPUMS format	Netherlands	5197	NL	null	NLD
Pakistan Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000100	https://zenodo.org/api/files/ab9e5719-8e8a-48fb-bb64-0707db8998c5/pak.tar.gz	null	SPEW.IPUMS format	Pakistan	5085	PK	null	PAK
Panama Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000101	https://zenodo.org/api/files/595d2938-8ce7-4e65-b48a-76deebb4e9d1/pan.tar.gz	null	SPEW.IPUMS format	Panama	5074	PA	null	PAN
Peru Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000102	https://zenodo.org/api/files/fd5e25ba-677d-4081-8c93-d4687584879e/per.tar.gz	null	SPEW.IPUMS format	Peru	5141	PE	null	PER
Philippines Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000103	https://zenodo.org/api/files/f0383891-5e8c-4285-871a-597a8c83d1cb/phl.tar.gz	null	SPEW.IPUMS format	Philippines	5163	PH	null	PHL
Portugal Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000104	https://zenodo.org/api/files/ff43966e-2334-4113-aeb9-acd8e845b270/prt.tar.gz	null	SPEW.IPUMS format	Portugal	5053	PT	null	PRT
Paraguay Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000105	https://zenodo.org/api/files/2810f403-f429-4307-be8c-eec8ea9ccfc3/pry.tar.gz	null	SPEW.IPUMS format	Paraguay	4979	PY	null	PRY
Romania Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000106	https://zenodo.org/api/files/325496b0-ba71-410f-bad7-4c41214ddbf9/rou.tar.gz	null	SPEW.IPUMS format	Romania	5026	RO	null	ROU
Rwanda Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000107	https://zenodo.org/api/files/defa46ae-5e03-45d5-b5a1-6b2878679a09/rwa.tar.gz	null	SPEW.IPUMS format	Rwanda	5078	RW	null	RWA
Sudan (the) Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000108	https://zenodo.org/api/files/c366291f-68d2-449a-b21d-aad06b666b24/sdn.tar.gz	null	SPEW.IPUMS format	Sudan (the)	1421	SD	null	SDN
Senegal Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000109	https://zenodo.org/api/files/730d5eda-3993-4e48-bba2-6090656da284/sen.tar.gz	null	SPEW.IPUMS format	Senegal	5083	SN	null	SEN
El Salvador Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000110	https://zenodo.org/api/files/f19a2eca-6242-4cb3-b4fd-43108110549a/slv.tar.gz	null	SPEW.IPUMS format	El Salvador	5165	SV	null	SLV
South Sudan Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000111	https://zenodo.org/api/files/588650c2-77f1-47e2-bf99-2388fc3bd35c/ssd.tar.gz	null	SPEW.IPUMS format	South Sudan	1365	SS	null	SSD
Slovenia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000112	https://zenodo.org/api/files/bc57d963-18e2-43da-a1f7-3fcf347daf2a/svn.tar.gz	null	SPEW.IPUMS format	Slovenia	5084	SI	null	SVN
Thailand Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000113	https://zenodo.org/api/files/2ff3ae09-6956-4d7f-9668-355b61c3aa70/tha.tar.gz	null	SPEW.IPUMS format	Thailand	4975	TH	null	THA
Turkey Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000114	https://zenodo.org/api/files/0e29eaf1-87d0-4f99-a3a0-925e0e5bc4ad/tur.tar.gz	null	SPEW.IPUMS format	Turkey	5100	TR	null	TUR
Tanzania, United Republic of Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000115	https://zenodo.org/api/files/49666750-4cdb-46bc-b03f-6fe22652e433/tza.tar.gz	null	SPEW.IPUMS format	Tanzania, United Republic of	5114	TZ	null	TZA
Uganda Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000116	https://zenodo.org/api/files/86357f56-6ccd-460d-bde8-ab489c8f034b/uga.tar.gz	null	SPEW.IPUMS format	Uganda	39	UG	null	UGA
Ukraine Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000117	https://zenodo.org/api/files/ef875662-0060-4d1e-a38d-2dd04c64c1e0/ukr.tar.gz	null	SPEW.IPUMS format	Ukraine	4958	UA	null	UKR
Uruguay Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000118	https://zenodo.org/api/files/cb2c1b55-c9e6-4d73-a335-f48970691a7d/ury.tar.gz	null	SPEW.IPUMS format	Uruguay	5098	UY	null	URY
United States of America (the) Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000119	https://zenodo.org/api/files/c9f856e5-a20b-45a5-906b-ebc82b012abe/northern_america.tar.gz	null	SPEW.IPUMS format	United States of America (the)	1216	US	null	USA
Venezuela Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000120	https://zenodo.org/api/files/0c4fdf78-33bc-4752-ab71-91dcc83ebd2f/ven.tar.gz	null	SPEW.IPUMS format	Venezuela	4995	VE	null	VEN
Vietnam Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000121	https://zenodo.org/api/files/b44ea2fb-0856-43a4-b9d7-f19975164334/vnm.tar.gz	null	SPEW.IPUMS format	Vietnam	5129	VN	null	VNM
South Africa Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000122	https://zenodo.org/api/files/1ab7ea20-0459-4884-96bb-d5040e83c69f/zaf.tar.gz	null	SPEW.IPUMS format	South Africa	5087	ZA	null	ZAF
Zambia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000123	https://zenodo.org/api/files/356285ee-c633-4077-9604-9e5fbb9f06fa/zmb.tar.gz	null	SPEW.IPUMS format	Zambia	5066	ZM	null	ZMB
