title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Georgia Synthetic Ecosystem	Georgia synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573988	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000011	https://zenodo.org/record/573988/files/13.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Georgia		US-GA	null	null
Hawaii Synthetic Ecosystem	Hawaii synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573989	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000012	https://zenodo.org/record/573989/files/15.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Hawaii		US-HI	null	null
Idaho Synthetic Ecosystem	Idaho synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573990	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000013	https://zenodo.org/record/573990/files/16.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Idaho		US-ID	null	null
Illinois Synthetic Ecosystem	Illinois synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573991	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000014	https://zenodo.org/record/573991/files/17.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Illinois		US-IL	null	null
Indiana Synthetic Ecosystem	Indiana synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573992	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000015	https://zenodo.org/record/573992/files/18.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Indiana		US-IN	null	null
Iowa Synthetic Ecosystem	Iowa synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573993	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000016	https://zenodo.org/record/573993/files/19.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Iowa		US-IA	null	null
Kansas Synthetic Ecosystem	Kansas synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573994	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000017	https://zenodo.org/record/573994/files/20.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Kansas		US-KS	null	null
Kentucky Synthetic Ecosystem	Kentucky synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573995	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000018	https://zenodo.org/record/573995/files/21.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Kentucky		US-KY	null	null
Louisiana Synthetic Ecosystem	Louisiana synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573996	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000019	https://zenodo.org/record/573996/files/22.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Louisiana		US-LA	null	null
Maine Synthetic Ecosystem	Maine synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573997	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000020	https://zenodo.org/record/573997/files/23.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Maine		US-ME	null	null
Maryland Synthetic Ecosystem	Maryland synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573998	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000021	https://zenodo.org/record/573998/files/24.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Maryland		US-MD	null	null
Massachusetts Synthetic Ecosystem	Massachusetts synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.573999	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000022	https://zenodo.org/record/573999/files/25.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Massachusetts		US-MA	null	null
