title	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Maryland Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573998	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000021	https://zenodo.org/record/573998/files/24.tar.gz	null	SPEW.US format	Maryland	1587	US-MD	null	null
Massachusetts Synthetic Ecosystem	https://doi.org/10.5281/zenodo.573999	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000022	https://zenodo.org/record/573999/files/25.tar.gz	null	SPEW.US format	Massachusetts	1609	US-MA	null	null
Michigan Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574000	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000023	https://zenodo.org/record/574000/files/26.tar.gz	null	SPEW.US format	Michigan	1619	US-MI	null	null
Minnesota Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574001	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000024	https://zenodo.org/record/574001/files/27.tar.gz	null	SPEW.US format	Minnesota	1588	US-MN	null	null
Mississippi Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574002	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000025	https://zenodo.org/record/574002/files/28.tar.gz	null	SPEW.US format	Mississippi	1620	US-MS	null	null
Missouri Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574003	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000026	https://zenodo.org/record/574003/files/29.tar.gz	null	SPEW.US format	Missouri	1589	US-MO	null	null
Montana Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574004	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000027	https://zenodo.org/record/574004/files/30.tar.gz	null	SPEW.US format	Montana	1590	US-MT	null	null
Nebraska Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574005	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000028	https://zenodo.org/record/574005/files/31.tar.gz	null	SPEW.US format	Nebraska	1621	US-NE	null	null
Nevada Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574006	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000029	https://zenodo.org/record/574006/files/32.tar.gz	null	SPEW.US format	Nevada	1591	US-NV	null	null
New Hampshire Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574007	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000030	https://zenodo.org/record/574007/files/33.tar.gz	null	SPEW.US format	New Hampshire	1605	US-NH	null	null
New Jersey Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574008	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000031	https://zenodo.org/record/574008/files/34.tar.gz	null	SPEW.US format	New Jersey	1592	US-NJ	null	null
New Mexico Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574009	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000032	https://zenodo.org/record/574009/files/35.tar.gz	null	SPEW.US format	New Mexico	1622	US-NM	null	null
New York Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574010	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000033	https://zenodo.org/record/574010/files/36.tar.gz	null	SPEW.US format	New York	1623	US-NY	null	null
North Carolina Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574011	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000034	https://zenodo.org/record/574011/files/37.tar.gz	null	SPEW.US format	North Carolina	1631	US-NC	null	null
North Dakota Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574012	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000035	https://zenodo.org/record/574012/files/38.tar.gz	null	SPEW.US format	North Dakota	1593	US-ND	null	null
Ohio Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574013	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000036	https://zenodo.org/record/574013/files/39.tar.gz	null	SPEW.US format	Ohio	1594	US-OH	null	null
Oklahoma Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574014	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000037	https://zenodo.org/record/574014/files/40.tar.gz	null	SPEW.US format	Oklahoma	1595	US-OK	null	null
Oregon Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574015	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000038	https://zenodo.org/record/574015/files/41.tar.gz	null	SPEW.US format	Oregon	1624	US-OR	null	null
Pennsylvania Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574016	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000039	https://zenodo.org/record/574016/files/42.tar.gz	null	SPEW.US format	Pennsylvania	1213	US-PA	null	null
Rhode Island Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574017	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000040	https://zenodo.org/record/574017/files/44.tar.gz	null	SPEW.US format	Rhode Island	1625	US-RI	null	null
South Carolina Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574018	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000041	https://zenodo.org/record/574018/files/45.tar.gz	null	SPEW.US format	South Carolina	1597	US-SC	null	null
South Dakota Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574019	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000042	https://zenodo.org/record/574019/files/46.tar.gz	null	SPEW.US format	South Dakota	1598	US-SD	null	null
Tennessee Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574020	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000043	https://zenodo.org/record/574020/files/47.tar.gz	null	SPEW.US format	Tennessee	1606	US-TN	null	null
Texas Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574021	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000044	https://zenodo.org/record/574021/files/48.tar.gz	null	SPEW.US format	Texas	1626	US-TX	null	null
Utah Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574022	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000045	https://zenodo.org/record/574022/files/49.tar.gz	null	SPEW.US format	Utah	1599	US-UT	null	null
Vermont Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574023	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000046	https://zenodo.org/record/574023/files/50.tar.gz	null	SPEW.US format	Vermont	1600	US-VT	null	null
Virginia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574024	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000047	https://zenodo.org/record/574024/files/51.tar.gz	null	SPEW.US format	Virginia	1610	US-VA	null	null
Washington Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574025	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000048	https://zenodo.org/record/574025/files/53.tar.gz	null	SPEW.US format	Washington	1627	US-WA	null	null
West Virginia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574026	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000049	https://zenodo.org/record/574026/files/54.tar.gz	null	SPEW.US format	West Virginia	1601	US-WV	null	null
Wisconsin Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574027	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000050	https://zenodo.org/record/574027/files/55.tar.gz	null	SPEW.US format	Wisconsin	1628	US-WI	null	null
Wyoming Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574028	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000051	https://zenodo.org/record/574028/files/56.tar.gz	null	SPEW.US format	Wyoming	1602	US-WY	null	null
Argentina Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574029	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000052	https://zenodo.org/record/574029/files/arg.tar.gz	null	SPEW.IPUMS format	Argentina	4977	AR	null	ARG
Armenia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574030	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000053	https://zenodo.org/record/574030/files/arm.tar.gz	null	SPEW.IPUMS format	Armenia	4985	AM	null	ARM
Austria Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574031	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000054	https://zenodo.org/record/574031/files/aut.tar.gz	null	SPEW.IPUMS format	Austria	4964	AT	null	AUT
Burkina Faso Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574032	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000055	https://zenodo.org/record/574032/files/bfa.tar.gz	null	SPEW.IPUMS format	Burkina Faso	5050	BF	null	BFA
Bangladesh Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574033	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000056	https://zenodo.org/record/574033/files/bgd.tar.gz	null	SPEW.IPUMS format	Bangladesh	5039	BD	null	BGD
Belarus Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574034	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000057	https://zenodo.org/record/574034/files/blr.tar.gz	null	SPEW.IPUMS format	Belarus	4972	BY	null	BLR
Bolivia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574035	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000058	https://zenodo.org/record/574035/files/bol.tar.gz	null	SPEW.IPUMS format	Bolivia	4963	BO	null	BOL
Brazil Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574036	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000059	https://zenodo.org/record/574036/files/bra.tar.gz	null	SPEW.IPUMS format	Brazil	5000	BR	null	BRA
Canada Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574037	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000060	https://zenodo.org/record/574037/files/can.tar.gz	null	SPEW.CANADA format	Canada	5091	CA	null	CAN
Switzerland Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574038	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000061	https://zenodo.org/record/574038/files/che.tar.gz	null	SPEW.IPUMS format	Switzerland	5176	CH	null	CHE
Chile Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574039	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000062	https://zenodo.org/record/574039/files/chl.tar.gz	null	SPEW.IPUMS format	Chile	4956	CL	null	CHL
China Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574040	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000063	https://zenodo.org/record/574040/files/chn.tar.gz	null	SPEW.IPUMS format	China	5043	CN	null	CHN
Cameroon Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574041	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000064	https://zenodo.org/record/574041/files/cmr.tar.gz	null	SPEW.IPUMS format	Cameroon	4990	CM	null	CMR
Colombia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574042	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000065	https://zenodo.org/record/574042/files/col.tar.gz	null	SPEW.IPUMS format	Colombia	5076	CO	null	COL
Costa Rica Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574043	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000066	https://zenodo.org/record/574043/files/cri.tar.gz	null	SPEW.IPUMS format	Costa Rica	5032	CR	null	CRI
Cuba Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574044	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000067	https://zenodo.org/record/574044/files/cub.tar.gz	null	SPEW.IPUMS format	Cuba	5183	CU	null	CUB
Germany Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574045	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000068	https://zenodo.org/record/574045/files/deu.tar.gz	null	SPEW.IPUMS format	Germany	5029	DE	null	DEU
Dominican Republic Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574046	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000069	https://zenodo.org/record/574046/files/dom.tar.gz	null	SPEW.IPUMS format	Dominican Republic	5120	DO	null	DOM
Ecuador Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574047	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000070	https://zenodo.org/record/574047/files/ecu.tar.gz	null	SPEW.IPUMS format	Ecuador	5088	EC	null	ECU
Egypt Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574048	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000071	https://zenodo.org/record/574048/files/egy.tar.gz	null	SPEW.IPUMS format	Egypt	4992	EG	null	EGY
Spain Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574049	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000072	https://zenodo.org/record/574049/files/esp.tar.gz	null	SPEW.IPUMS format	Spain	4978	ES	null	ESP
Ethiopia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574050	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000073	https://zenodo.org/record/574050/files/eth.tar.gz	null	SPEW.IPUMS format	Ethiopia	5179	ET	null	ETH
Fiji Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574051	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000074	https://zenodo.org/record/574051/files/fji.tar.gz	null	SPEW.IPUMS format	Fiji	5168	FJ	null	FJI
France Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574052	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000075	https://zenodo.org/record/574052/files/fra.tar.gz	null	SPEW.IPUMS format	France	4998	FR	null	FRA
Ghana Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574053	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000076	https://zenodo.org/record/574053/files/gha.tar.gz	null	SPEW.IPUMS format	Ghana	5092	GH	null	GHA
Greece Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574054	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000077	https://zenodo.org/record/574054/files/grc.tar.gz	null	SPEW.IPUMS format	Greece	5090	GR	null	GRC
Haiti Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574055	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000078	https://zenodo.org/record/574055/files/hti.tar.gz	null	SPEW.IPUMS format	Haiti	4989	HT	null	HTI
