title	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Morocco Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574067	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000090	https://zenodo.org/record/574067/files/mar.tar.gz	null	SPEW.IPUMS format	Morocco	5049	MA	null	MAR
Mexico Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574068	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000091	https://zenodo.org/record/574068/files/mex.tar.gz	null	SPEW.IPUMS format	Mexico	5178	MX	null	MEX
Mali Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574069	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000092	https://zenodo.org/record/574069/files/mli.tar.gz	null	SPEW.IPUMS format	Mali	30	ML	null	MLI
Mongolia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574070	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000093	https://zenodo.org/record/574070/files/mng.tar.gz	null	SPEW.IPUMS format	Mongolia	5020	MN	null	MNG
Mozambique Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574071	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000094	https://zenodo.org/record/574071/files/moz.tar.gz	null	SPEW.IPUMS format	Mozambique	4953	MZ	null	MOZ
Malawi Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574072	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000095	https://zenodo.org/record/574072/files/mwi.tar.gz	null	SPEW.IPUMS format	Malawi	5139	MW	null	MWI
Malaysia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574073	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000096	https://zenodo.org/record/574073/files/mys.tar.gz	null	SPEW.IPUMS format	Malaysia	4967	MY	null	MYS
Nigeria Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574074	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000097	https://zenodo.org/record/574074/files/nga.tar.gz	null	SPEW.IPUMS format	Nigeria	318	NG	null	NGA
Nicaragua Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574075	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000098	https://zenodo.org/record/574075/files/nic.tar.gz	null	SPEW.IPUMS format	Nicaragua	5070	NI	null	NIC
Netherlands Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574076	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000099	https://zenodo.org/record/574076/files/nld.tar.gz	null	SPEW.IPUMS format	Netherlands	5197	NL	null	NLD
Pakistan Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574077	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000100	https://zenodo.org/record/574077/files/pak.tar.gz	null	SPEW.IPUMS format	Pakistan	5085	PK	null	PAK
Panama Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574078	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000101	https://zenodo.org/record/574078/files/pan.tar.gz	null	SPEW.IPUMS format	Panama	5074	PA	null	PAN
Peru Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574079	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000102	https://zenodo.org/record/574079/files/per.tar.gz	null	SPEW.IPUMS format	Peru	5141	PE	null	PER
Philippines Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574080	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000103	https://zenodo.org/record/574080/files/phl.tar.gz	null	SPEW.IPUMS format	Philippines	5163	PH	null	PHL
Portugal Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574081	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000104	https://zenodo.org/record/574081/files/prt.tar.gz	null	SPEW.IPUMS format	Portugal	5053	PT	null	PRT
Paraguay Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574082	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000105	https://zenodo.org/record/574082/files/pry.tar.gz	null	SPEW.IPUMS format	Paraguay	4979	PY	null	PRY
Romania Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574083	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000106	https://zenodo.org/record/574083/files/rou.tar.gz	null	SPEW.IPUMS format	Romania	5026	RO	null	ROU
Rwanda Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574084	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000107	https://zenodo.org/record/574084/files/rwa.tar.gz	null	SPEW.IPUMS format	Rwanda	5078	RW	null	RWA
Sudan (the) Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574085	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000108	https://zenodo.org/record/574085/files/sdn.tar.gz	null	SPEW.IPUMS format	Sudan (the)	1421	SD	null	SDN
Senegal Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574086	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000109	https://zenodo.org/record/574086/files/sen.tar.gz	null	SPEW.IPUMS format	Senegal	5083	SN	null	SEN
El Salvador Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574087	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000110	https://zenodo.org/record/574087/files/slv.tar.gz	null	SPEW.IPUMS format	El Salvador	5165	SV	null	SLV
South Sudan Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574088	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000111	https://zenodo.org/record/574088/files/ssd.tar.gz	null	SPEW.IPUMS format	South Sudan	1365	SS	null	SSD
Slovenia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574089	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000112	https://zenodo.org/record/574089/files/svn.tar.gz	null	SPEW.IPUMS format	Slovenia	5084	SI	null	SVN
Thailand Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574090	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000113	https://zenodo.org/record/574090/files/tha.tar.gz	null	SPEW.IPUMS format	Thailand	4975	TH	null	THA
Turkey Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574091	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000114	https://zenodo.org/record/574091/files/tur.tar.gz	null	SPEW.IPUMS format	Turkey	5100	TR	null	TUR
Tanzania, United Republic of Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574092	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000115	https://zenodo.org/record/574092/files/tza.tar.gz	null	SPEW.IPUMS format	Tanzania, United Republic of	5114	TZ	null	TZA
Uganda Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574093	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000116	https://zenodo.org/record/574093/files/uga.tar.gz	null	SPEW.IPUMS format	Uganda	39	UG	null	UGA
Ukraine Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574094	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000117	https://zenodo.org/record/574094/files/ukr.tar.gz	null	SPEW.IPUMS format	Ukraine	4958	UA	null	UKR
Uruguay Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574095	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000118	https://zenodo.org/record/574095/files/ury.tar.gz	null	SPEW.IPUMS format	Uruguay	5098	UY	null	URY
United States of America (the) Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574096	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000119	https://zenodo.org/record/574096/files/northern_america.tar.gz	null	SPEW.IPUMS format	United States of America (the)	1216	US	null	USA
Venezuela Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574097	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000120	https://zenodo.org/record/574097/files/ven.tar.gz	null	SPEW.IPUMS format	Venezuela	4995	VE	null	VEN
Vietnam Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574098	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000121	https://zenodo.org/record/574098/files/vnm.tar.gz	null	SPEW.IPUMS format	Vietnam	5129	VN	null	VNM
South Africa Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574099	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000122	https://zenodo.org/record/574099/files/zaf.tar.gz	null	SPEW.IPUMS format	South Africa	5087	ZA	null	ZAF
Zambia Synthetic Ecosystem	https://doi.org/10.5281/zenodo.574100	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000123	https://zenodo.org/record/574100/files/zmb.tar.gz	null	SPEW.IPUMS format	Zambia	5066	ZM	null	ZMB
